Grass	Oddish	043	Route 13	route	Weepinbell	070	Grass
Grass	Oddish	043	Route 13	route	Weepinbell	070	Poison
Grass	Oddish	043	Route 13	route	Ditto	132	Normal
Grass	Oddish	043	Route 13	route	Magikarp	129	Water
Grass	Oddish	043	Route 13	route	Poliwag	060	Water
Grass	Oddish	043	Route 13	route	Goldeen	118	Water
Grass	Oddish	043	Route 13	route	Tentacool	072	Water
Grass	Oddish	043	Route 13	route	Tentacool	072	Poison
Grass	Oddish	043	Route 13	route	Krabby	098	Water
Grass	Gloom	044	Route 15	route	Pidgey	016	Normal
Grass	Gloom	044	Route 15	route	Pidgey	016	Flying
Grass	Gloom	044	Route 15	route	Pidgeotto	017	Normal
Grass	Gloom	044	Route 15	route	Pidgeotto	017	Flying
Grass	Gloom	044	Route 15	route	Oddish	043	Grass
Grass	Gloom	044	Route 15	route	Oddish	043	Poison
Grass	Gloom	044	Route 15	route	Venonat	048	Bug
Grass	Gloom	044	Route 15	route	Venonat	048	Poison
Grass	Gloom	044	Route 15	route	Bellsprout	069	Grass
Grass	Gloom	044	Route 15	route	Bellsprout	069	Poison
Grass	Gloom	044	Route 15	route	Weepinbell	070	Grass
Grass	Gloom	044	Route 15	route	Weepinbell	070	Poison
Grass	Gloom	044	Route 15	route	Ditto	132	Normal
Grass	Gloom	044	Route 14	route	Pidgey	016	Normal
Grass	Gloom	044	Route 14	route	Pidgey	016	Flying
Grass	Gloom	044	Route 14	route	Pidgeotto	017	Normal
Grass	Gloom	044	Route 14	route	Pidgeotto	017	Flying
Grass	Gloom	044	Route 14	route	Oddish	043	Grass
Grass	Gloom	044	Route 14	route	Oddish	043	Poison
Grass	Gloom	044	Route 14	route	Venonat	048	Bug
Grass	Gloom	044	Route 14	route	Venonat	048	Poison
Grass	Gloom	044	Route 14	route	Bellsprout	069	Grass
Grass	Gloom	044	Route 14	route	Bellsprout	069	Poison
Grass	Gloom	044	Route 14	route	Weepinbell	070	Grass
Grass	Gloom	044	Route 14	route	Weepinbell	070	Poison
Grass	Gloom	044	Route 14	route	Ditto	132	Normal
Grass	Gloom	044	Route 14	route	Magikarp	129	Water
Grass	Gloom	044	Route 14	route	Poliwag	060	Water
Grass	Gloom	044	Route 14	route	Goldeen	118	Water
Grass	Gloom	044	Route 13	route	Pidgey	016	Normal
Grass	Gloom	044	Route 13	route	Pidgey	016	Flying
Grass	Gloom	044	Route 13	route	Oddish	043	Grass
Grass	Gloom	044	Route 13	route	Oddish	043	Poison
Grass	Gloom	044	Route 13	route	Venonat	048	Bug
Grass	Gloom	044	Route 13	route	Venonat	048	Poison
Grass	Gloom	044	Route 13	route	Bellsprout	069	Grass
Grass	Gloom	044	Route 13	route	Bellsprout	069	Poison
Grass	Gloom	044	Route 13	route	Weepinbell	070	Grass
Grass	Gloom	044	Route 13	route	Weepinbell	070	Poison
Grass	Gloom	044	Route 13	route	Ditto	132	Normal
Grass	Gloom	044	Route 13	route	Magikarp	129	Water
Grass	Gloom	044	Route 13	route	Poliwag	060	Water
Grass	Gloom	044	Route 13	route	Goldeen	118	Water
Grass	Gloom	044	Route 13	route	Tentacool	072	Water
Grass	Gloom	044	Route 13	route	Tentacool	072	Poison
Grass	Gloom	044	Route 13	route	Krabby	098	Water
Grass	Parasect	047	Safari Zone	landmark	Nidoran	029	Poison
Grass	Parasect	047	Safari Zone	landmark	Nidorina	030	Poison
Grass	Parasect	047	Safari Zone	landmark	Nidoran	032	Poison
Grass	Parasect	047	Safari Zone	landmark	Nidorino	033	Poison
Grass	Parasect	047	Safari Zone	landmark	Venonat	048	Bug
Grass	Parasect	047	Safari Zone	landmark	Venonat	048	Poison
Grass	Parasect	047	Safari Zone	landmark	Exeggcute	102	Grass
Grass	Parasect	047	Safari Zone	landmark	Exeggcute	102	Psychic
Grass	Parasect	047	Safari Zone	landmark	Rhyhorn	111	Ground
Grass	Parasect	047	Safari Zone	landmark	Rhyhorn	111	Rock
Grass	Parasect	047	Safari Zone	landmark	Chansey	113	Normal
Grass	Parasect	047	Safari Zone	landmark	Scyther	123	Bug
Grass	Parasect	047	Safari Zone	landmark	Scyther	123	Flying
Grass	Parasect	047	Safari Zone	landmark	Pinsir	127	Bug
Grass	Exeggcute	102	Safari Zone	landmark	Nidoran	029	Poison
Grass	Exeggcute	102	Safari Zone	landmark	Nidorina	030	Poison
Grass	Exeggcute	102	Safari Zone	landmark	Nidoran	032	Poison
Grass	Exeggcute	102	Safari Zone	landmark	Nidorino	033	Poison
Grass	Exeggcute	102	Safari Zone	landmark	Parasect	047	Bug
Grass	Exeggcute	102	Safari Zone	landmark	Parasect	047	Grass
Grass	Exeggcute	102	Safari Zone	landmark	Venonat	048	Bug
Grass	Exeggcute	102	Safari Zone	landmark	Venonat	048	Poison
Grass	Exeggcute	102	Safari Zone	landmark	Rhyhorn	111	Ground
Grass	Exeggcute	102	Safari Zone	landmark	Rhyhorn	111	Rock
Grass	Exeggcute	102	Safari Zone	landmark	Chansey	113	Normal
Grass	Exeggcute	102	Safari Zone	landmark	Scyther	123	Bug
Grass	Exeggcute	102	Safari Zone	landmark	Scyther	123	Flying
Grass	Exeggcute	102	Safari Zone	landmark	Pinsir	127	Bug
Grass	Bellsprout	069	Route 15	route	Pidgey	016	Normal
Grass	Bellsprout	069	Route 15	route	Pidgey	016	Flying
Grass	Bellsprout	069	Route 15	route	Pidgeotto	017	Normal
Grass	Bellsprout	069	Route 15	route	Pidgeotto	017	Flying
Grass	Bellsprout	069	Route 15	route	Oddish	043	Grass
Grass	Bellsprout	069	Route 15	route	Oddish	043	Poison
Grass	Bellsprout	069	Route 15	route	Gloom	044	Grass
Grass	Bellsprout	069	Route 15	route	Gloom	044	Poison
Grass	Bellsprout	069	Route 15	route	Venonat	048	Bug
Grass	Bellsprout	069	Route 15	route	Venonat	048	Poison
Grass	Bellsprout	069	Route 15	route	Weepinbell	070	Grass
Grass	Bellsprout	069	Route 15	route	Weepinbell	070	Poison
Grass	Bellsprout	069	Route 15	route	Ditto	132	Normal
Grass	Bellsprout	069	Route 14	route	Pidgey	016	Normal
Grass	Bellsprout	069	Route 14	route	Pidgey	016	Flying
Grass	Bellsprout	069	Route 14	route	Pidgeotto	017	Normal
Grass	Bellsprout	069	Route 14	route	Pidgeotto	017	Flying
Grass	Bellsprout	069	Route 14	route	Oddish	043	Grass
Grass	Bellsprout	069	Route 14	route	Oddish	043	Poison
Grass	Bellsprout	069	Route 14	route	Gloom	044	Grass
Grass	Bellsprout	069	Route 14	route	Gloom	044	Poison
Grass	Bellsprout	069	Route 14	route	Venonat	048	Bug
Grass	Bellsprout	069	Route 14	route	Venonat	048	Poison
Grass	Bellsprout	069	Route 14	route	Weepinbell	070	Grass
Grass	Bellsprout	069	Route 14	route	Weepinbell	070	Poison
Grass	Bellsprout	069	Route 14	route	Ditto	132	Normal
Grass	Bellsprout	069	Route 14	route	Magikarp	129	Water
Grass	Bellsprout	069	Route 14	route	Poliwag	060	Water
Grass	Bellsprout	069	Route 14	route	Goldeen	118	Water
Grass	Bellsprout	069	Route 13	route	Pidgey	016	Normal
Grass	Bellsprout	069	Route 13	route	Pidgey	016	Flying
Grass	Bellsprout	069	Route 13	route	Oddish	043	Grass
Grass	Bellsprout	069	Route 13	route	Oddish	043	Poison
Grass	Bellsprout	069	Route 13	route	Gloom	044	Grass
Grass	Bellsprout	069	Route 13	route	Gloom	044	Poison
Grass	Bellsprout	069	Route 13	route	Venonat	048	Bug
Grass	Bellsprout	069	Route 13	route	Venonat	048	Poison
Grass	Bellsprout	069	Route 13	route	Weepinbell	070	Grass
Grass	Bellsprout	069	Route 13	route	Weepinbell	070	Poison
Grass	Bellsprout	069	Route 13	route	Ditto	132	Normal
Grass	Bellsprout	069	Route 13	route	Magikarp	129	Water
Grass	Bellsprout	069	Route 13	route	Poliwag	060	Water
Grass	Bellsprout	069	Route 13	route	Goldeen	118	Water
Grass	Bellsprout	069	Route 13	route	Tentacool	072	Water
Grass	Bellsprout	069	Route 13	route	Tentacool	072	Poison
Grass	Bellsprout	069	Route 13	route	Krabby	098	Water
Grass	Weepinbell	070	Route 15	route	Pidgey	016	Normal
Grass	Weepinbell	070	Route 15	route	Pidgey	016	Flying
Grass	Weepinbell	070	Route 15	route	Pidgeotto	017	Normal
Grass	Weepinbell	070	Route 15	route	Pidgeotto	017	Flying
Grass	Weepinbell	070	Route 15	route	Oddish	043	Grass
Grass	Weepinbell	070	Route 15	route	Oddish	043	Poison
Grass	Weepinbell	070	Route 15	route	Gloom	044	Grass
Grass	Weepinbell	070	Route 15	route	Gloom	044	Poison
Grass	Weepinbell	070	Route 15	route	Venonat	048	Bug
Grass	Weepinbell	070	Route 15	route	Venonat	048	Poison
Grass	Weepinbell	070	Route 15	route	Bellsprout	069	Grass
Grass	Weepinbell	070	Route 15	route	Bellsprout	069	Poison
Grass	Weepinbell	070	Route 15	route	Ditto	132	Normal
Grass	Weepinbell	070	Route 14	route	Pidgey	016	Normal
Grass	Weepinbell	070	Route 14	route	Pidgey	016	Flying
Grass	Weepinbell	070	Route 14	route	Pidgeotto	017	Normal
Grass	Weepinbell	070	Route 14	route	Pidgeotto	017	Flying
Grass	Weepinbell	070	Route 14	route	Oddish	043	Grass
Grass	Weepinbell	070	Route 14	route	Oddish	043	Poison
Grass	Weepinbell	070	Route 14	route	Gloom	044	Grass
Grass	Weepinbell	070	Route 14	route	Gloom	044	Poison
Grass	Weepinbell	070	Route 14	route	Venonat	048	Bug
Grass	Weepinbell	070	Route 14	route	Venonat	048	Poison
Grass	Weepinbell	070	Route 14	route	Bellsprout	069	Grass
Grass	Weepinbell	070	Route 14	route	Bellsprout	069	Poison
Grass	Weepinbell	070	Route 14	route	Ditto	132	Normal
Grass	Weepinbell	070	Route 14	route	Magikarp	129	Water
Grass	Weepinbell	070	Route 14	route	Poliwag	060	Water
Grass	Weepinbell	070	Route 14	route	Goldeen	118	Water
Grass	Weepinbell	070	Route 13	route	Pidgey	016	Normal
Grass	Weepinbell	070	Route 13	route	Pidgey	016	Flying
Grass	Weepinbell	070	Route 13	route	Oddish	043	Grass
Grass	Weepinbell	070	Route 13	route	Oddish	043	Poison
Grass	Weepinbell	070	Route 13	route	Gloom	044	Grass
Grass	Weepinbell	070	Route 13	route	Gloom	044	Poison
Grass	Weepinbell	070	Route 13	route	Venonat	048	Bug
Grass	Weepinbell	070	Route 13	route	Venonat	048	Poison
Grass	Weepinbell	070	Route 13	route	Bellsprout	069	Grass
Grass	Weepinbell	070	Route 13	route	Bellsprout	069	Poison
Grass	Weepinbell	070	Route 13	route	Ditto	132	Normal
Grass	Weepinbell	070	Route 13	route	Magikarp	129	Water
Grass	Weepinbell	070	Route 13	route	Poliwag	060	Water
Grass	Weepinbell	070	Route 13	route	Goldeen	118	Water
Grass	Weepinbell	070	Route 13	route	Tentacool	072	Water
Grass	Weepinbell	070	Route 13	route	Tentacool	072	Poison
Grass	Weepinbell	070	Route 13	route	Krabby	098	Water
Poison	Bulbasaur	001	Pallet Town	city/town	Charmander	004	Fire
Poison	Bulbasaur	001	Pallet Town	city/town	Squirtle	007	Water
Poison	Bulbasaur	001	Pallet Town	city/town	Pikachu	025	Electric
Poison	Bulbasaur	001	Pallet Town	city/town	Eevee	133	Normal
Poison	Weedle	013	Viridian Forest	landmark	Caterpie	010	Bug
Poison	Weedle	013	Viridian Forest	landmark	Metapod	011	Bug
Poison	Weedle	013	Viridian Forest	landmark	Kakuna	014	Bug
Poison	Weedle	013	Viridian Forest	landmark	Kakuna	014	Poison
Poison	Weedle	013	Viridian Forest	landmark	Caterpie	010	Bug
Poison	Weedle	013	Viridian Forest	landmark	Metapod	011	Bug
Poison	Weedle	013	Viridian Forest	landmark	Kakuna	014	Bug
Poison	Weedle	013	Viridian Forest	landmark	Kakuna	014	Poison
Poison	Weedle	013	Viridian Forest	landmark	Pikachu	025	Electric
Poison	Kakuna	014	Viridian Forest	landmark	Caterpie	010	Bug
Poison	Kakuna	014	Viridian Forest	landmark	Weedle	013	Bug
Poison	Kakuna	014	Viridian Forest	landmark	Weedle	013	Poison
Poison	Kakuna	014	Viridian Forest	landmark	Metapod	011	Bug
Poison	Kakuna	014	Viridian Forest	landmark	Caterpie	010	Bug
Poison	Kakuna	014	Viridian Forest	landmark	Metapod	011	Bug
Poison	Kakuna	014	Viridian Forest	landmark	Weedle	013	Bug
Poison	Kakuna	014	Viridian Forest	landmark	Weedle	013	Poison
Poison	Kakuna	014	Viridian Forest	landmark	Pikachu	025	Electric
Poison	Arbok	024	Cerulean Cave	landmark	Mewtwo	150	Psychic
Poison	Arbok	024	Cerulean Cave	landmark	Raichu	026	Electric
Poison	Nidoran-Female	029	Safari Zone	landmark	Nidorina	030	Poison
Poison	Nidoran-Female	029	Safari Zone	landmark	Nidoran	032	Poison
Poison	Nidoran-Female	029	Safari Zone	landmark	Nidorino	033	Poison
Poison	Nidoran-Female	029	Safari Zone	landmark	Parasect	047	Bug
Poison	Nidoran-Female	029	Safari Zone	landmark	Parasect	047	Grass
Poison	Nidoran-Female	029	Safari Zone	landmark	Venonat	048	Bug
Poison	Nidoran-Female	029	Safari Zone	landmark	Venonat	048	Poison
Poison	Nidoran-Female	029	Safari Zone	landmark	Exeggcute	102	Grass
Poison	Nidoran-Female	029	Safari Zone	landmark	Exeggcute	102	Psychic
Poison	Nidoran-Female	029	Safari Zone	landmark	Rhyhorn	111	Ground
Poison	Nidoran-Female	029	Safari Zone	landmark	Rhyhorn	111	Rock
Poison	Nidoran-Female	029	Safari Zone	landmark	Chansey	113	Normal
Poison	Nidoran-Female	029	Safari Zone	landmark	Scyther	123	Bug
Poison	Nidoran-Female	029	Safari Zone	landmark	Scyther	123	Flying
Poison	Nidoran-Female	029	Safari Zone	landmark	Pinsir	127	Bug
Poison	Nidorina	030	Safari Zone	landmark	Nidoran	029	Poison
Poison	Nidorina	030	Safari Zone	landmark	Nidoran	032	Poison
Poison	Nidorina	030	Safari Zone	landmark	Nidorino	033	Poison
Poison	Nidorina	030	Safari Zone	landmark	Parasect	047	Bug
Poison	Nidorina	030	Safari Zone	landmark	Parasect	047	Grass
Poison	Nidorina	030	Safari Zone	landmark	Venonat	048	Bug
Poison	Nidorina	030	Safari Zone	landmark	Venonat	048	Poison
Poison	Nidorina	030	Safari Zone	landmark	Exeggcute	102	Grass
Poison	Nidorina	030	Safari Zone	landmark	Exeggcute	102	Psychic
Poison	Nidorina	030	Safari Zone	landmark	Rhyhorn	111	Ground
Poison	Nidorina	030	Safari Zone	landmark	Rhyhorn	111	Rock
Poison	Nidorina	030	Safari Zone	landmark	Chansey	113	Normal
Poison	Nidorina	030	Safari Zone	landmark	Scyther	123	Bug
Poison	Nidorina	030	Safari Zone	landmark	Scyther	123	Flying
Poison	Nidorina	030	Safari Zone	landmark	Pinsir	127	Bug
Poison	Nidorina	030	Celadon Game Corner	landmark	Abra	063	Psychic
Poison	Nidorina	030	Celadon Game Corner	landmark	Nidorino	033	Poison
Poison	Nidorina	030	Celadon Game Corner	landmark	Clefairy	035	Fairy
Poison	Nidorina	030	Celadon Game Corner	landmark	Dratini	147	Dragon
Poison	Nidorina	030	Celadon Game Corner	landmark	Porygon	137	Normal
Poison	Nidorina	030	Celadon Game Corner	landmark	Scyther	123	Bug
Poison	Nidorina	030	Celadon Game Corner	landmark	Scyther	123	Flying
Poison	Nidorina	030	Celadon Game Corner	landmark	Pinsir	127	Bug
Poison	Nidorina	030	Celadon Game Corner	landmark	Pikachu	025	Electric
Poison	Nidorina	030	Celadon Game Corner	landmark	Horsea	116	Water
Poison	Nidorina	030	Celadon Game Corner	landmark	Clefable	036	Fairy
Poison	Nidorina	030	Celadon Game Corner	landmark	Dragonair	148	Dragon
Poison	Nidoran-Male	032	Safari Zone	landmark	Nidoran	029	Poison
Poison	Nidoran-Male	032	Safari Zone	landmark	Nidorina	030	Poison
Poison	Nidoran-Male	032	Safari Zone	landmark	Nidorino	033	Poison
Poison	Nidoran-Male	032	Safari Zone	landmark	Parasect	047	Bug
Poison	Nidoran-Male	032	Safari Zone	landmark	Parasect	047	Grass
Poison	Nidoran-Male	032	Safari Zone	landmark	Venonat	048	Bug
Poison	Nidoran-Male	032	Safari Zone	landmark	Venonat	048	Poison
Poison	Nidoran-Male	032	Safari Zone	landmark	Exeggcute	102	Grass
Poison	Nidoran-Male	032	Safari Zone	landmark	Exeggcute	102	Psychic
Poison	Nidoran-Male	032	Safari Zone	landmark	Rhyhorn	111	Ground
Poison	Nidoran-Male	032	Safari Zone	landmark	Rhyhorn	111	Rock
Poison	Nidoran-Male	032	Safari Zone	landmark	Chansey	113	Normal
Poison	Nidoran-Male	032	Safari Zone	landmark	Scyther	123	Bug
Poison	Nidoran-Male	032	Safari Zone	landmark	Scyther	123	Flying
Poison	Nidoran-Male	032	Safari Zone	landmark	Pinsir	127	Bug
Poison	Nidorino	033	Safari Zone	landmark	Nidoran	029	Poison
Poison	Nidorino	033	Safari Zone	landmark	Nidorina	030	Poison
Poison	Nidorino	033	Safari Zone	landmark	Nidoran	032	Poison
Poison	Nidorino	033	Safari Zone	landmark	Parasect	047	Bug
Poison	Nidorino	033	Safari Zone	landmark	Parasect	047	Grass
Poison	Nidorino	033	Safari Zone	landmark	Venonat	048	Bug
Poison	Nidorino	033	Safari Zone	landmark	Venonat	048	Poison
Poison	Nidorino	033	Safari Zone	landmark	Exeggcute	102	Grass
Poison	Nidorino	033	Safari Zone	landmark	Exeggcute	102	Psychic
Poison	Nidorino	033	Safari Zone	landmark	Rhyhorn	111	Ground
Poison	Nidorino	033	Safari Zone	landmark	Rhyhorn	111	Rock
Poison	Nidorino	033	Safari Zone	landmark	Chansey	113	Normal
Poison	Nidorino	033	Safari Zone	landmark	Scyther	123	Bug
Poison	Nidorino	033	Safari Zone	landmark	Scyther	123	Flying
Poison	Nidorino	033	Safari Zone	landmark	Pinsir	127	Bug
Poison	Nidorino	033	Celadon Game Corner	landmark	Abra	063	Psychic
Poison	Nidorino	033	Celadon Game Corner	landmark	Nidorina	030	Poison
Poison	Nidorino	033	Celadon Game Corner	landmark	Clefairy	035	Fairy
Poison	Nidorino	033	Celadon Game Corner	landmark	Dratini	147	Dragon
Poison	Nidorino	033	Celadon Game Corner	landmark	Porygon	137	Normal
Poison	Nidorino	033	Celadon Game Corner	landmark	Scyther	123	Bug
Poison	Nidorino	033	Celadon Game Corner	landmark	Scyther	123	Flying
Poison	Nidorino	033	Celadon Game Corner	landmark	Pinsir	127	Bug
Poison	Nidorino	033	Celadon Game Corner	landmark	Pikachu	025	Electric
Poison	Nidorino	033	Celadon Game Corner	landmark	Horsea	116	Water
Poison	Nidorino	033	Celadon Game Corner	landmark	Clefable	036	Fairy
Poison	Nidorino	033	Celadon Game Corner	landmark	Dragonair	148	Dragon
Poison	Nidorino	033	Lavender Town	city/town	Psyduck	054	Water
Poison	Zubat	041	Victory Road	landmark	Golbat	042	Poison
Poison	Zubat	041	Victory Road	landmark	Golbat	042	Flying
Poison	Zubat	041	Victory Road	landmark	Machop	066	Fighting
Poison	Zubat	041	Victory Road	landmark	Machoke	067	Fighting
Poison	Zubat	041	Victory Road	landmark	Geodude	074	Rock
Poison	Zubat	041	Victory Road	landmark	Geodude	074	Ground
Poison	Zubat	041	Victory Road	landmark	Graveler	075	Rock
Poison	Zubat	041	Victory Road	landmark	Graveler	075	Ground
Poison	Zubat	041	Victory Road	landmark	Onix	095	Rock
Poison	Zubat	041	Victory Road	landmark	Onix	095	Ground
Poison	Zubat	041	Victory Road	landmark	Marowak	105	Ground
Poison	Zubat	041	Victory Road	landmark	Moltres	146	Fire,
Poison	Zubat	041	Victory Road	landmark	Moltres	146	Flying
Poison	Zubat	041	Victory Road	landmark	Venomoth	049	Bug
Poison	Zubat	041	Victory Road	landmark	Venomoth	049	Poison
Poison	Zubat	041	Seafoam I	landmark	Golbat	042	Poison
Poison	Zubat	041	Seafoam I	landmark	Golbat	042	Flying
Poison	Zubat	041	Seafoam I	landmark	Psyduck	054	Water
Poison	Zubat	041	Seafoam I	landmark	Golduck	055	Water
Poison	Zubat	041	Seafoam I	landmark	Poliwag	060	Water
Poison	Zubat	041	Seafoam I	landmark	Slowpoke	079	Water
Poison	Zubat	041	Seafoam I	landmark	Slowpoke	079	Psychic
Poison	Zubat	041	Seafoam I	landmark	Slowbro	080	Water
Poison	Zubat	041	Seafoam I	landmark	Slowbro	080	Psychic
Poison	Zubat	041	Seafoam I	landmark	Seel	086	Water
Poison	Zubat	041	Seafoam I	landmark	Dewgong	087	Water
Poison	Zubat	041	Seafoam I	landmark	Dewgong	087	Ice
Poison	Zubat	041	Seafoam I	landmark	Shellder	090	Water
Poison	Zubat	041	Seafoam I	landmark	Krabby	098	Water
Poison	Zubat	041	Seafoam I	landmark	Kingler	099	Water
Poison	Zubat	041	Seafoam I	landmark	Horsea	116	Water
Poison	Zubat	041	Seafoam I	landmark	Seadra	117	Water
Poison	Zubat	041	Seafoam I	landmark	Goldeen	118	Water
Poison	Zubat	041	Seafoam I	landmark	Staryu	120	Water
Poison	Zubat	041	Seafoam I	landmark	Magikarp	129	Water
Poison	Zubat	041	Seafoam I	landmark	Articuno	144	Ice
Poison	Zubat	041	Seafoam I	landmark	Articuno	144	Flying
Poison	Zubat	041	Rock Tunnel	landmark	Snorlax	143	Normal
Poison	Zubat	041	Rock Tunnel	landmark	Geodude	074	Rock
Poison	Zubat	041	Rock Tunnel	landmark	Geodude	074	Ground
Poison	Zubat	041	Rock Tunnel	landmark	Machop	066	Fighting
Poison	Zubat	041	Rock Tunnel	landmark	Onix	095	Rock
Poison	Zubat	041	Rock Tunnel	landmark	Onix	095	Ground
Poison	Golbat	042	Victory Road	landmark	Zubat	041	Poison
Poison	Golbat	042	Victory Road	landmark	Zubat	041	Flying
Poison	Golbat	042	Victory Road	landmark	Machop	066	Fighting
Poison	Golbat	042	Victory Road	landmark	Machoke	067	Fighting
Poison	Golbat	042	Victory Road	landmark	Geodude	074	Rock
Poison	Golbat	042	Victory Road	landmark	Geodude	074	Ground
Poison	Golbat	042	Victory Road	landmark	Graveler	075	Rock
Poison	Golbat	042	Victory Road	landmark	Graveler	075	Ground
Poison	Golbat	042	Victory Road	landmark	Onix	095	Rock
Poison	Golbat	042	Victory Road	landmark	Onix	095	Ground
Poison	Golbat	042	Victory Road	landmark	Marowak	105	Ground
Poison	Golbat	042	Victory Road	landmark	Moltres	146	Fire,
Poison	Golbat	042	Victory Road	landmark	Moltres	146	Flying
Poison	Golbat	042	Victory Road	landmark	Venomoth	049	Bug
Poison	Golbat	042	Victory Road	landmark	Venomoth	049	Poison
Poison	Golbat	042	Seafoam I	landmark	Zubat	041	Poison
Poison	Golbat	042	Seafoam I	landmark	Zubat	041	Flying
Poison	Golbat	042	Seafoam I	landmark	Psyduck	054	Water
Poison	Golbat	042	Seafoam I	landmark	Golduck	055	Water
Poison	Golbat	042	Seafoam I	landmark	Poliwag	060	Water
Poison	Golbat	042	Seafoam I	landmark	Slowpoke	079	Water
Poison	Golbat	042	Seafoam I	landmark	Slowpoke	079	Psychic
Poison	Golbat	042	Seafoam I	landmark	Slowbro	080	Water
Poison	Golbat	042	Seafoam I	landmark	Slowbro	080	Psychic
Poison	Golbat	042	Seafoam I	landmark	Seel	086	Water
Poison	Golbat	042	Seafoam I	landmark	Dewgong	087	Water
Poison	Golbat	042	Seafoam I	landmark	Dewgong	087	Ice
Poison	Golbat	042	Seafoam I	landmark	Shellder	090	Water
Poison	Golbat	042	Seafoam I	landmark	Krabby	098	Water
Poison	Golbat	042	Seafoam I	landmark	Kingler	099	Water
Poison	Golbat	042	Seafoam I	landmark	Horsea	116	Water
Poison	Golbat	042	Seafoam I	landmark	Seadra	117	Water
Poison	Golbat	042	Seafoam I	landmark	Goldeen	118	Water
Poison	Golbat	042	Seafoam I	landmark	Staryu	120	Water
Poison	Golbat	042	Seafoam I	landmark	Magikarp	129	Water
Poison	Golbat	042	Seafoam I	landmark	Articuno	144	Ice
Poison	Golbat	042	Seafoam I	landmark	Articuno	144	Flying
Poison	Oddish	043	Route 15	route	Pidgey	016	Normal
Poison	Oddish	043	Route 15	route	Pidgey	016	Flying
Poison	Oddish	043	Route 15	route	Pidgeotto	017	Normal
Poison	Oddish	043	Route 15	route	Pidgeotto	017	Flying
Poison	Oddish	043	Route 15	route	Gloom	044	Grass
Poison	Oddish	043	Route 15	route	Gloom	044	Poison
Poison	Oddish	043	Route 15	route	Venonat	048	Bug
Poison	Oddish	043	Route 15	route	Venonat	048	Poison
Poison	Oddish	043	Route 15	route	Bellsprout	069	Grass
Poison	Oddish	043	Route 15	route	Bellsprout	069	Poison
Poison	Oddish	043	Route 15	route	Weepinbell	070	Grass
Poison	Oddish	043	Route 15	route	Weepinbell	070	Poison
Poison	Oddish	043	Route 15	route	Ditto	132	Normal
Poison	Oddish	043	Route 14	route	Pidgey	016	Normal
Poison	Oddish	043	Route 14	route	Pidgey	016	Flying
Poison	Oddish	043	Route 14	route	Pidgeotto	017	Normal
Poison	Oddish	043	Route 14	route	Pidgeotto	017	Flying
Poison	Oddish	043	Route 14	route	Gloom	044	Grass
Poison	Oddish	043	Route 14	route	Gloom	044	Poison
Poison	Oddish	043	Route 14	route	Venonat	048	Bug
